,id,name,picture_url,host_id,host_since,host_response_rate,host_acceptance_rate,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,beds,price,minimum_nights,maximum_nights,availability_90,review_scores_rating,calculated_host_listings_count,reviews_per_month,Hotel room,Private room,Shared room,host_since_interval,5 to 10,less than 5,Lprice,bathrooms_cislo,host_response_time_within a day,host_response_time_within a few hours,host_response_time_within an hour,neighborhood_overview_1,host_location_1,host_about_1,host_is_superhost_t,host_has_profile_pic_t,host_identity_verified_t,has_availability_t,instant_bookable_t,price_range
48,254416,Rental unit in Prague · ★3.98 · 1 bedroom · 1 bed · 1 bath,https://a0.muscache.com/pictures/8163204/c9375307_original.jpg,870664,2011-07-26,68.0,47.0,Praha 1,50.08227,14.42123,Entire home/apt,2, bath,1.0,1471.0,2,365,28,3.98,9,1.15,False,False,False, more than 10,False,False,7.293697720601438,1.0,True,False,False,False,True,True,False,True,True,True,False,1000-1500
49,254484,Rental unit in Prague · ★4.78 · 1 bedroom · 2 beds · 1 bath,https://a0.muscache.com/pictures/8695507/ba1660b3_original.jpg,1336827,2011-10-26,100.0,97.0,Praha 1,50.086,14.40397,Entire home/apt,2, bath,2.0,2335.0,1,365,29,4.78,2,1.76,False,False,False, more than 10,False,False,7.755767170102998,1.0,False,False,True,True,True,True,False,True,True,True,True,2000-2500
51,278580,Rental unit in Prague · ★3.88 · 1 bedroom · 6 beds · 1 bath,https://a0.muscache.com/pictures/6505f925-13af-40c4-a3e6-f25ae5d17c92.jpg,383698,2011-02-09,100.0,99.0,Praha 1,50.07922,14.42084,Entire home/apt,6, bath,6.0,2547.0,1,365,66,3.88,33,0.39,False,False,False, more than 10,False,False,7.842671474979457,1.0,False,False,True,True,True,True,False,True,True,True,True,2500-3000
52,279773,Rental unit in Prague · ★4.68 · 1 bedroom · 1 bed · 1 bath,https://a0.muscache.com/pictures/6141040/3762b839_original.jpg,843497,2011-07-20,100.0,93.0,Praha 1,50.08915,14.4186,Entire home/apt,4, bath,1.0,1622.0,2,1125,0,4.68,2,3.62,False,False,False, more than 10,False,False,7.3914152346753585,1.0,False,False,True,False,True,True,True,True,True,True,False,1500-2000
53,287716,Rental unit in Prague · ★4.97 · 2 bedrooms · 3 beds · 2.5 baths,https://a0.muscache.com/pictures/0b405438-bd78-41de-8a74-e909a9410f41.jpg,5282,2008-12-17,100.0,100.0,Praha 1,50.08229,14.41552,Entire home/apt,6, baths,3.0,6398.0,1,365,27,4.97,74,0.24,False,False,False, more than 10,False,False,8.763740720509464,2.5,False,False,True,False,True,True,True,True,True,True,True,>3000
55,287734,Serviced apartment in Prague · ★4.90 · 3 bedrooms · 4 beds · 2 baths,https://a0.muscache.com/pictures/048222c5-6ad2-4565-9e0f-65f64b157f93.jpg,5282,2008-12-17,100.0,100.0,Praha 1,50.08821,14.42623,Entire home/apt,8, baths,4.0,8642.0,1,365,6,4.9,74,0.27,False,False,False, more than 10,False,False,9.064389316491878,2.0,False,False,True,False,True,True,True,True,True,True,True,>3000
57,302265,Aparthotel in Prague · ★4.80 · 1 bedroom · 2 beds · 1 private bath,https://a0.muscache.com/pictures/miso/Hosting-302265/original/e98b382d-1c39-49a9-8488-82f9cf755aea.jpeg,1556914,2012-01-02,100.0,100.0,Praha 2,50.07417,14.42633,Hotel room,4, private bath,2.0,3240.0,2,999,81,4.8,5,0.08,True,False,False, more than 10,False,False,8.083328608786376,1.0,False,False,True,True,True,True,True,True,True,True,True,>3000
59,318204,Rental unit in Prague · ★4.59 · 1 bedroom · 1 bed · 1 bath,https://a0.muscache.com/pictures/35086205/ed0ad1f7_original.jpg,1629431,2012-01-20,100.0,100.0,Praha 2,50.07306,14.4311,Entire home/apt,4, bath,1.0,1944.0,2,60,71,4.59,18,1.71,False,False,False, more than 10,False,False,7.572502985020384,1.0,False,False,True,True,True,True,False,True,True,True,True,1500-2000
60,320262,Rental unit in Prague · ★4.53 · 1 bedroom · 1 bed · 1 bath,https://a0.muscache.com/pictures/35322605/c051c206_original.jpg,1629431,2012-01-20,100.0,100.0,Praha 2,50.07396,14.43007,Entire home/apt,4, bath,1.0,1762.0,2,60,75,4.53,18,2.01,False,False,False, more than 10,False,False,7.474204806496124,1.0,False,False,True,True,True,True,False,True,True,True,True,1500-2000
61,324586,Rental unit in Prague · ★4.90 · 2 bedrooms · 2 beds · 1.5 baths,https://a0.muscache.com/pictures/3516697/a4007829_original.jpg,1660663,2012-01-27,100.0,97.0,Praha 1,50.09227,14.43225,Entire home/apt,6, baths,2.0,8757.0,3,1124,65,4.9,7,0.57,False,False,False, more than 10,False,False,9.077608659522225,1.5,False,False,True,True,True,True,True,True,True,True,False,>3000
64,346142,Rental unit in Prague · ★4.38 · 2 bedrooms · 7 beds · 1 bath,https://a0.muscache.com/pictures/15228357/8da0c12a_original.jpg,383698,2011-02-09,100.0,99.0,Praha 2,50.07583,14.41401,Entire home/apt,7, bath,7.0,2946.0,1,365,75,4.38,33,0.53,False,False,False, more than 10,False,False,7.988203597022576,1.0,False,False,True,True,True,True,False,True,True,True,True,2500-3000
65,374937,Rental unit in Prague Nové Město · ★4.87 · 1 bedroom · 1 bed · 1 bath,https://a0.muscache.com/pictures/miso/Hosting-374937/original/8772b84f-ba8a-4af2-bbc0-b67edd771fa5.jpeg,850917,2011-07-21,100.0,100.0,Praha 1,50.07858,14.42901,Entire home/apt,2, bath,1.0,1573.0,2,1125,54,4.87,2,3.1,False,False,False, more than 10,False,False,7.360739903058278,1.0,False,False,True,False,True,False,True,True,True,True,False,1500-2000
67,415145,Rental unit in Prague · ★4.91 · 4 bedrooms · 7 beds · 2.5 baths,https://a0.muscache.com/pictures/miso/Hosting-415145/original/17df28bb-6282-417b-8cdb-bbece3de8b0f.jpeg,1660663,2012-01-27,100.0,97.0,Praha 1,50.09123,14.42331,Entire home/apt,8, baths,7.0,14116.0,3,1124,54,4.91,7,1.61,False,False,False, more than 10,False,False,9.55506418479516,2.5,False,False,True,True,True,True,True,True,True,True,False,>3000
68,448629,Bed and breakfast in Prague · ★4.96 · 1 bedroom · 3 beds · 1 private bath,https://a0.muscache.com/pictures/9208833/7c171bca_original.jpg,1366084,2011-11-03,100.0,100.0,Praha 1,50.0876,14.39812,Private room,3, private bath,3.0,1594.0,2,1125,69,4.96,7,0.53,False,True,False, more than 10,False,False,7.374001859350161,1.0,False,False,True,False,True,True,True,True,True,True,False,1500-2000
